1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  
-1.50982e+302  -4.2577e+299  4.51244e+302  7.25242e+302  -1.22674e+304  -1.97574e+304  1.28538e+305  2.20528e+305  -6.61479e+305  -1.26308e+306  1.61927e+306  inf  -7.39313e+305  -inf  -inf  -1.89361e+306  -inf  -inf  -7.39313e+305  inf  1.61927e+306  -1.26308e+306  -6.61479e+305  2.20528e+305  1.28538e+305  -1.97574e+304  -1.22674e+304  7.25242e+302  4.51244e+302  -4.2577e+299  -1.50982e+302  
7.47563e+301  1.96997e+302  5.6372e+302  -5.99195e+303  -1.47478e+304  1.33742e+305  3.01733e+305  -1.28684e+306  -2.96374e+306  inf  inf  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  inf  inf  -2.96374e+306  -1.28684e+306  3.01733e+305  1.33742e+305  -1.47478e+304  -5.99195e+303  5.6372e+302  1.96997e+302  7.47563e+301  
-2.53632e+304  -2.00057e+304  -3.93325e+303  -4.84141e+303  7.71486e+304  2.20663e+305  -1.31352e+306  -inf  inf  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  inf  -inf  -1.31352e+306  2.20663e+305  7.71486e+304  -4.84141e+303  -3.93325e+303  -2.00057e+304  -2.53632e+304  
2.15867e+304  9.27008e+303  -2.76797e+304  1.48337e+304  8.93453e+304  -7.3271e+305  -2.40414e+306  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -2.40414e+306  -7.3271e+305  8.93453e+304  1.48337e+304  -2.76797e+304  9.27008e+303  2.15867e+304  
1.24612e+306  9.74691e+305  1.60411e+305  2.24747e+303  -2.34211e+305  -9.08074e+305  inf  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  inf  -9.08074e+305  -2.34211e+305  2.24747e+303  1.60411e+305  9.74691e+305  1.24612e+306  
-1.19363e+306  -8.61753e+305  1.33882e+305  1.3636e+305  -1.91051e+305  1.60079e+306  inf  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  inf  1.60079e+306  -1.91051e+305  1.3636e+305  1.33882e+305  -8.61753e+305  -1.19363e+306  
-nan  -nan  -inf  -1.10027e+305  3.29806e+305  1.3942e+306  -inf  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -inf  1.3942e+306  3.29806e+305  -1.10027e+305  -inf  -nan  -nan  
-nan  -nan  -nan  -7.67245e+305  9.39005e+304  -1.39282e+306  -inf  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -inf  -1.39282e+306  9.39005e+304  -7.67245e+305  -nan  -nan  -nan  
-nan  -nan  -nan  -nan  -1.80198e+305  -7.87024e+305  inf  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  inf  -7.87024e+305  -1.80198e+305  -nan  -nan  -nan  -nan  
-nan  -nan  -nan  -nan  5.10237e+303  4.47996e+305  inf  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan  inf  4.47996e+305  5.10237e+303  -nan  -nan  -nan  -nan  
